date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:40:32	148774/148774	---MCZ	200	added ('OK')	text/html	date:Sat,%2004%20Dec%202021%2009:10:03%20GMT	https://twitter-trends.iamrohit.in/dominican-republic	C:/My%20Web%20Sites/TWITTER/twitter-trends.iamrohit.in/dominican-republic.html	(from https://twitter-trends.iamrohit.in/)
14:40:32	148653/148653	---MCZ	200	added ('OK')	text/html	date:Sat,%2004%20Dec%202021%2009:10:04%20GMT	https://twitter-trends.iamrohit.in/ecuador	C:/My%20Web%20Sites/TWITTER/twitter-trends.iamrohit.in/ecuador.html	(from https://twitter-trends.iamrohit.in/)
14:40:33	155903/155903	---MCZ	200	added ('OK')	text/html	date:Sat,%2004%20Dec%202021%2009:10:04%20GMT	https://twitter-trends.iamrohit.in/egypt	C:/My%20Web%20Sites/TWITTER/twitter-trends.iamrohit.in/egypt.html	(from https://twitter-trends.iamrohit.in/)
14:40:33	147993/147993	---MCZ	200	added ('OK')	text/html	date:Sat,%2004%20Dec%202021%2009:10:05%20GMT	https://twitter-trends.iamrohit.in/france	C:/My%20Web%20Sites/TWITTER/twitter-trends.iamrohit.in/france.html	(from https://twitter-trends.iamrohit.in/)
14:40:34	149098/149098	---MCZ	200	added ('OK')	text/html	date:Sat,%2004%20Dec%202021%2009:10:06%20GMT	https://twitter-trends.iamrohit.in/germany	C:/My%20Web%20Sites/TWITTER/twitter-trends.iamrohit.in/germany.html	(from https://twitter-trends.iamrohit.in/)
14:40:35	147698/147698	---MCZ	200	added ('OK')	text/html	date:Sat,%2004%20Dec%202021%2009:10:07%20GMT	https://twitter-trends.iamrohit.in/ghana	C:/My%20Web%20Sites/TWITTER/twitter-trends.iamrohit.in/ghana.html	(from https://twitter-trends.iamrohit.in/)
14:40:36	156627/156627	---MCZ	200	added ('OK')	text/html	date:Sat,%2004%20Dec%202021%2009:10:08%20GMT	https://twitter-trends.iamrohit.in/greece	C:/My%20Web%20Sites/TWITTER/twitter-trends.iamrohit.in/greece.html	(from https://twitter-trends.iamrohit.in/)
14:40:37	148234/148234	---MCZ	200	added ('OK')	text/html	date:Sat,%2004%20Dec%202021%2009:10:09%20GMT	https://twitter-trends.iamrohit.in/guatemala	C:/My%20Web%20Sites/TWITTER/twitter-trends.iamrohit.in/guatemala.html	(from https://twitter-trends.iamrohit.in/)
14:40:38	146732/146732	---MC-	200	added ('OK')	text/javascript	date:Sat,%2004%20Dec%202021%2009:09:51%20GMT	http://pagead2.googlesyndication.com/pagead/js/adsbygoogle.js	C:/My%20Web%20Sites/TWITTER/pagead2.googlesyndication.com/pagead/js/f.txt	(from https://twitter-trends.iamrohit.in/)
14:40:38	149022/149022	---MCZ	200	added ('OK')	text/html	date:Sat,%2004%20Dec%202021%2009:10:09%20GMT	https://twitter-trends.iamrohit.in/india	C:/My%20Web%20Sites/TWITTER/twitter-trends.iamrohit.in/india.html	(from https://twitter-trends.iamrohit.in/)
14:40:38	148109/148109	---MCZ	200	added ('OK')	text/html	date:Sat,%2004%20Dec%202021%2009:10:10%20GMT	https://twitter-trends.iamrohit.in/indonesia	C:/My%20Web%20Sites/TWITTER/twitter-trends.iamrohit.in/indonesia.html	(from https://twitter-trends.iamrohit.in/)
14:40:38	148005/148005	---MCZ	200	added ('OK')	text/html	date:Sat,%2004%20Dec%202021%2009:10:11%20GMT	https://twitter-trends.iamrohit.in/ireland	C:/My%20Web%20Sites/TWITTER/twitter-trends.iamrohit.in/ireland.html	(from https://twitter-trends.iamrohit.in/)
14:40:38	150322/150322	---MCZ	200	added ('OK')	text/html	date:Sat,%2004%20Dec%202021%2009:10:12%20GMT	https://twitter-trends.iamrohit.in/israel	C:/My%20Web%20Sites/TWITTER/twitter-trends.iamrohit.in/israel.html	(from https://twitter-trends.iamrohit.in/)
14:40:39	148424/148424	---MCZ	200	added ('OK')	text/html	date:Sat,%2004%20Dec%202021%2009:10:12%20GMT	https://twitter-trends.iamrohit.in/italy	C:/My%20Web%20Sites/TWITTER/twitter-trends.iamrohit.in/italy.html	(from https://twitter-trends.iamrohit.in/)
14:40:40	155012/155012	---MCZ	200	added ('OK')	text/html	date:Sat,%2004%20Dec%202021%2009:10:13%20GMT	https://twitter-trends.iamrohit.in/japan	C:/My%20Web%20Sites/TWITTER/twitter-trends.iamrohit.in/japan.html	(from https://twitter-trends.iamrohit.in/)
14:40:40	149422/149422	---MCZ	200	added ('OK')	text/html	date:Sat,%2004%20Dec%202021%2009:10:14%20GMT	https://twitter-trends.iamrohit.in/jordan	C:/My%20Web%20Sites/TWITTER/twitter-trends.iamrohit.in/jordan.html	(from https://twitter-trends.iamrohit.in/)
14:40:41	147915/147915	---MCZ	200	added ('OK')	text/html	date:Sat,%2004%20Dec%202021%2009:10:14%20GMT	https://twitter-trends.iamrohit.in/kenya	C:/My%20Web%20Sites/TWITTER/twitter-trends.iamrohit.in/kenya.html	(from https://twitter-trends.iamrohit.in/)
14:40:41	153904/153904	---MCZ	200	added ('OK')	text/html	date:Sat,%2004%20Dec%202021%2009:10:14%20GMT	https://twitter-trends.iamrohit.in/korea	C:/My%20Web%20Sites/TWITTER/twitter-trends.iamrohit.in/korea.html	(from https://twitter-trends.iamrohit.in/)
14:40:42	154781/154781	---MCZ	200	added ('OK')	text/html	date:Sat,%2004%20Dec%202021%2009:10:15%20GMT	https://twitter-trends.iamrohit.in/kuwait	C:/My%20Web%20Sites/TWITTER/twitter-trends.iamrohit.in/kuwait.html	(from https://twitter-trends.iamrohit.in/)
14:40:42	147589/147589	---MCZ	200	added ('OK')	text/html	date:Sat,%2004%20Dec%202021%2009:10:16%20GMT	https://twitter-trends.iamrohit.in/latvia	C:/My%20Web%20Sites/TWITTER/twitter-trends.iamrohit.in/latvia.html	(from https://twitter-trends.iamrohit.in/)
14:40:43	149682/149682	---MCZ	200	added ('OK')	text/html	date:Sat,%2004%20Dec%202021%2009:10:16%20GMT	https://twitter-trends.iamrohit.in/lebanon	C:/My%20Web%20Sites/TWITTER/twitter-trends.iamrohit.in/lebanon.html	(from https://twitter-trends.iamrohit.in/)
14:40:43	147965/147965	---MCZ	200	added ('OK')	text/html	date:Sat,%2004%20Dec%202021%2009:10:16%20GMT	https://twitter-trends.iamrohit.in/malaysia	C:/My%20Web%20Sites/TWITTER/twitter-trends.iamrohit.in/malaysia.html	(from https://twitter-trends.iamrohit.in/)
14:40:44	148481/148481	---MCZ	200	added ('OK')	text/html	date:Sat,%2004%20Dec%202021%2009:10:17%20GMT	https://twitter-trends.iamrohit.in/mexico	C:/My%20Web%20Sites/TWITTER/twitter-trends.iamrohit.in/mexico.html	(from https://twitter-trends.iamrohit.in/)
14:40:44	148405/148405	---MCZ	200	added ('OK')	text/html	date:Sat,%2004%20Dec%202021%2009:10:17%20GMT	https://twitter-trends.iamrohit.in/netherlands	C:/My%20Web%20Sites/TWITTER/twitter-trends.iamrohit.in/netherlands.html	(from https://twitter-trends.iamrohit.in/)
14:40:45	147609/147609	---MCZ	200	added ('OK')	text/html	date:Sat,%2004%20Dec%202021%2009:10:18%20GMT	https://twitter-trends.iamrohit.in/new-zealand	C:/My%20Web%20Sites/TWITTER/twitter-trends.iamrohit.in/new-zealand.html	(from https://twitter-trends.iamrohit.in/)
14:40:45	147460/147460	---MCZ	200	added ('OK')	text/html	date:Sat,%2004%20Dec%202021%2009:10:18%20GMT	https://twitter-trends.iamrohit.in/nigeria	C:/My%20Web%20Sites/TWITTER/twitter-trends.iamrohit.in/nigeria.html	(from https://twitter-trends.iamrohit.in/)
14:40:46	147339/147339	---MCZ	200	added ('OK')	text/html	date:Sat,%2004%20Dec%202021%2009:10:19%20GMT	https://twitter-trends.iamrohit.in/norway	C:/My%20Web%20Sites/TWITTER/twitter-trends.iamrohit.in/norway.html	(from https://twitter-trends.iamrohit.in/)
14:40:46	154244/154244	---MCZ	200	added ('OK')	text/html	date:Sat,%2004%20Dec%202021%2009:10:20%20GMT	https://twitter-trends.iamrohit.in/oman	C:/My%20Web%20Sites/TWITTER/twitter-trends.iamrohit.in/oman.html	(from https://twitter-trends.iamrohit.in/)
14:40:47	148444/148444	---MCZ	200	added ('OK')	text/html	date:Sat,%2004%20Dec%202021%2009:10:20%20GMT	https://twitter-trends.iamrohit.in/pakistan	C:/My%20Web%20Sites/TWITTER/twitter-trends.iamrohit.in/pakistan.html	(from https://twitter-trends.iamrohit.in/)
14:40:47	148160/148160	---MCZ	200	added ('OK')	text/html	date:Sat,%2004%20Dec%202021%2009:10:21%20GMT	https://twitter-trends.iamrohit.in/panama	C:/My%20Web%20Sites/TWITTER/twitter-trends.iamrohit.in/panama.html	(from https://twitter-trends.iamrohit.in/)
14:40:48	148679/148679	---MCZ	200	added ('OK')	text/html	date:Sat,%2004%20Dec%202021%2009:10:21%20GMT	https://twitter-trends.iamrohit.in/peru	C:/My%20Web%20Sites/TWITTER/twitter-trends.iamrohit.in/peru.html	(from https://twitter-trends.iamrohit.in/)
14:40:48	149906/149906	---MCZ	200	added ('OK')	text/html	date:Sat,%2004%20Dec%202021%2009:10:22%20GMT	https://twitter-trends.iamrohit.in/philippines	C:/My%20Web%20Sites/TWITTER/twitter-trends.iamrohit.in/philippines.html	(from https://twitter-trends.iamrohit.in/)
14:40:49	148371/148371	---MCZ	200	added ('OK')	text/html	date:Sat,%2004%20Dec%202021%2009:10:22%20GMT	https://twitter-trends.iamrohit.in/poland	C:/My%20Web%20Sites/TWITTER/twitter-trends.iamrohit.in/poland.html	(from https://twitter-trends.iamrohit.in/)
14:40:50	148038/148038	---MCZ	200	added ('OK')	text/html	date:Sat,%2004%20Dec%202021%2009:10:23%20GMT	https://twitter-trends.iamrohit.in/portugal	C:/My%20Web%20Sites/TWITTER/twitter-trends.iamrohit.in/portugal.html	(from https://twitter-trends.iamrohit.in/)
14:40:50	147963/147963	---MCZ	200	added ('OK')	text/html	date:Sat,%2004%20Dec%202021%2009:10:24%20GMT	https://twitter-trends.iamrohit.in/puerto-rico	C:/My%20Web%20Sites/TWITTER/twitter-trends.iamrohit.in/puerto-rico.html	(from https://twitter-trends.iamrohit.in/)
14:40:51	149443/149443	---MCZ	200	added ('OK')	text/html	date:Sat,%2004%20Dec%202021%2009:10:24%20GMT	https://twitter-trends.iamrohit.in/qatar	C:/My%20Web%20Sites/TWITTER/twitter-trends.iamrohit.in/qatar.html	(from https://twitter-trends.iamrohit.in/)
14:40:52	153581/153581	---MCZ	200	added ('OK')	text/html	date:Sat,%2004%20Dec%202021%2009:10:25%20GMT	https://twitter-trends.iamrohit.in/russia	C:/My%20Web%20Sites/TWITTER/twitter-trends.iamrohit.in/russia.html	(from https://twitter-trends.iamrohit.in/)
14:40:52	154821/154821	---MCZ	200	added ('OK')	text/html	date:Sat,%2004%20Dec%202021%2009:10:25%20GMT	https://twitter-trends.iamrohit.in/saudi-arabia	C:/My%20Web%20Sites/TWITTER/twitter-trends.iamrohit.in/saudi-arabia.html	(from https://twitter-trends.iamrohit.in/)
